date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:06	232/232	---M--	404	error ('NOT%20FOUND')	text/html	date:Sun,%2023%20Jul%202023%2015:06:06%20GMT	http://127.0.0.1:5000/robots.txt		(from )
16:06:06	6026/6026	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:06%20GMT	http://127.0.0.1:5000/	D:/DWHB_Site2/dwhb/127.0.0.1_5000/index.html	(from )
16:06:07	2681/2681	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Oct%202021%2009:20:44%20GMT	http://127.0.0.1:5000/static/images/logo-university-of-manchester.png	D:/DWHB_Site2/dwhb/127.0.0.1_5000/static/images/logo-university-of-manchester.png	(from http://127.0.0.1:5000/)
16:06:07	5707/5707	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:07%20GMT	http://127.0.0.1:5000/stages	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages.html	(from http://127.0.0.1:5000/)
16:06:07	5257/5257	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:07%20GMT	http://127.0.0.1:5000/spatterns	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns.html	(from http://127.0.0.1:5000/)
16:06:07	9123/9123	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:07%20GMT	http://127.0.0.1:5000/constructs	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs.html	(from http://127.0.0.1:5000/)
16:06:08	7638/7638	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:08%20GMT	http://127.0.0.1:5000/cpatterns	D:/DWHB_Site2/dwhb/127.0.0.1_5000/cpatterns.html	(from http://127.0.0.1:5000/)
16:06:08	5752/5752	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:08%20GMT	http://127.0.0.1:5000/classes	D:/DWHB_Site2/dwhb/127.0.0.1_5000/classes.html	(from http://127.0.0.1:5000/)
16:06:08	5830/5830	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:08%20GMT	http://127.0.0.1:5000/stages/Get%20Data	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Get%20Data.html	(from http://127.0.0.1:5000/stages)
16:06:09	5783/5783	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:09%20GMT	http://127.0.0.1:5000/stages/Explore	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Explore.html	(from http://127.0.0.1:5000/stages)
16:06:09	6575/6575	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:09%20GMT	http://127.0.0.1:5000/stages/Cleaning	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Cleaning.html	(from http://127.0.0.1:5000/stages)
16:06:09	6599/6599	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:09%20GMT	http://127.0.0.1:5000/stages/Structuring1	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Structuring1.html	(from http://127.0.0.1:5000/stages)
16:06:10	7555/7555	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:09%20GMT	http://127.0.0.1:5000/stages/Structuring2	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Structuring2.html	(from http://127.0.0.1:5000/stages)
16:06:10	6064/6064	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:10%20GMT	http://127.0.0.1:5000/stages/Integration	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Integration.html	(from http://127.0.0.1:5000/stages)
16:06:10	6964/6964	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:10%20GMT	http://127.0.0.1:5000/stages/Enriching3	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Enriching3.html	(from http://127.0.0.1:5000/stages)
16:06:10	5647/5647	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:10%20GMT	http://127.0.0.1:5000/stages/Transform	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Transform.html	(from http://127.0.0.1:5000/stages)
16:06:11	5327/5327	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:10%20GMT	http://127.0.0.1:5000/stages/User%20Defined%20Functions	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/User%20Defined%20Functions.html	(from http://127.0.0.1:5000/stages)
16:06:11	6141/6141	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:11%20GMT	http://127.0.0.1:5000/stages/Post%20Data	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/Post%20Data.html	(from http://127.0.0.1:5000/stages)
16:06:11	5304/5304	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:11%20GMT	http://127.0.0.1:5000/stages/MetaNode(s)	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/MetaNode(s).html	(from http://127.0.0.1:5000/stages)
16:06:11	5551/5551	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:11%20GMT	http://127.0.0.1:5000/spatterns/ps1	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/ps1.html	(from http://127.0.0.1:5000/spatterns)
16:06:12	5762/5762	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:12%20GMT	http://127.0.0.1:5000/spatterns/ps2	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/ps2.html	(from http://127.0.0.1:5000/spatterns)
16:06:12	5772/5772	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:12%20GMT	http://127.0.0.1:5000/spatterns/ps3	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/ps3.html	(from http://127.0.0.1:5000/spatterns)
16:06:12	5676/5676	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:12%20GMT	http://127.0.0.1:5000/spatterns/pm1	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/pm1.html	(from http://127.0.0.1:5000/spatterns)
16:06:13	5702/5702	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:13%20GMT	http://127.0.0.1:5000/spatterns/pm2	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/pm2.html	(from http://127.0.0.1:5000/spatterns)
16:06:13	5886/5886	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:13%20GMT	http://127.0.0.1:5000/spatterns/pm3	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/pm3.html	(from http://127.0.0.1:5000/spatterns)
16:06:13	5860/5860	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:13%20GMT	http://127.0.0.1:5000/spatterns/pm4	D:/DWHB_Site2/dwhb/127.0.0.1_5000/spatterns/pm4.html	(from http://127.0.0.1:5000/spatterns)
16:06:14	13449/-1	---M--	500	error ('INTERNAL%20SERVER%20ERROR')	text/html	date:Sun,%2023%20Jul%202023%2015:06:13%20GMT	http://127.0.0.1:5000/stages/None	D:/DWHB_Site2/dwhb/127.0.0.1_5000/stages/None.19.delayed	(from http://127.0.0.1:5000/constructs)
16:06:15	6141/6141	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:14%20GMT	http://127.0.0.1:5000/constructs/Pivot	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Pivot.html	(from http://127.0.0.1:5000/constructs)
16:06:15	6095/6095	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:15%20GMT	http://127.0.0.1:5000/constructs/Unpivot	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Unpivot.html	(from http://127.0.0.1:5000/constructs)
16:06:15	6139/6139	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:15%20GMT	http://127.0.0.1:5000/constructs/Read%20File	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Read%20File.html	(from http://127.0.0.1:5000/constructs)
16:06:16	6101/6101	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:15%20GMT	http://127.0.0.1:5000/constructs/Column%20Convert	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Column%20Convert.html	(from http://127.0.0.1:5000/constructs)
16:06:16	7315/7315	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:16%20GMT	http://127.0.0.1:5000/constructs/Filter%20Rows	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Filter%20Rows.html	(from http://127.0.0.1:5000/constructs)
16:06:16	6222/6222	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:16%20GMT	http://127.0.0.1:5000/constructs/Impute%20Values	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Impute%20Values.html	(from http://127.0.0.1:5000/constructs)
16:06:16	7549/7549	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:16%20GMT	http://127.0.0.1:5000/constructs/Remove%20Column	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Remove%20Column.html	(from http://127.0.0.1:5000/constructs)
16:06:17	6405/6405	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:16%20GMT	http://127.0.0.1:5000/constructs/Remove%20Duplicates	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Remove%20Duplicates.html	(from http://127.0.0.1:5000/constructs)
16:06:17	6170/6170	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:17%20GMT	http://127.0.0.1:5000/constructs/Remove%20Null	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Remove%20Null.html	(from http://127.0.0.1:5000/constructs)
16:06:17	6156/6156	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:17%20GMT	http://127.0.0.1:5000/constructs/Column%20Arrange	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Column%20Arrange.html	(from http://127.0.0.1:5000/constructs)
16:06:17	7013/7013	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:17%20GMT	http://127.0.0.1:5000/constructs/Create%20Column	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Create%20Column.html	(from http://127.0.0.1:5000/constructs)
16:06:18	7203/7203	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:17%20GMT	http://127.0.0.1:5000/constructs/Merge%20Columns	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Merge%20Columns.html	(from http://127.0.0.1:5000/constructs)
16:06:18	6914/6914	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:18%20GMT	http://127.0.0.1:5000/constructs/Rename%20Column	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Rename%20Column.html	(from http://127.0.0.1:5000/constructs)
16:06:18	6218/6218	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:18%20GMT	http://127.0.0.1:5000/constructs/Split%20Column	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Split%20Column.html	(from http://127.0.0.1:5000/constructs)
16:06:19	6116/6116	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:18%20GMT	http://127.0.0.1:5000/constructs/Ungroup	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Ungroup.html	(from http://127.0.0.1:5000/constructs)
16:06:19	7394/7394	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:19%20GMT	http://127.0.0.1:5000/constructs/Aggregate	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Aggregate.html	(from http://127.0.0.1:5000/constructs)
16:06:19	6178/6178	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:19%20GMT	http://127.0.0.1:5000/constructs/Reduce%20Dimensions	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Reduce%20Dimensions.html	(from http://127.0.0.1:5000/constructs)
16:06:19	6160/6160	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:19%20GMT	http://127.0.0.1:5000/constructs/Remove%20Columns	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Remove%20Columns.html	(from http://127.0.0.1:5000/constructs)
16:06:20	6155/6155	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:19%20GMT	http://127.0.0.1:5000/constructs/Select%20Columns	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Select%20Columns.html	(from http://127.0.0.1:5000/constructs)
16:06:20	6159/6159	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:20%20GMT	http://127.0.0.1:5000/constructs/Sort	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Sort.html	(from http://127.0.0.1:5000/constructs)
16:06:20	7231/7231	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:20%20GMT	http://127.0.0.1:5000/constructs/Split%20Table	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Split%20Table.html	(from http://127.0.0.1:5000/constructs)
16:06:21	7110/7110	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:20%20GMT	http://127.0.0.1:5000/constructs/Transpose	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Transpose.html	(from http://127.0.0.1:5000/constructs)
16:06:21	6841/6841	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:21%20GMT	http://127.0.0.1:5000/constructs/Join	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Join.html	(from http://127.0.0.1:5000/constructs)
16:06:21	7258/7258	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:21%20GMT	http://127.0.0.1:5000/constructs/Union	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/Union.html	(from http://127.0.0.1:5000/constructs)
16:06:21	6882/6882	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2015:06:21%20GMT	http://127.0.0.1:5000/constructs/DayeOfWeek	D:/DWHB_Site2/dwhb/127.0.0.1_5000/constructs/DayeOfWeek.html	(from http://127.0.0.1:5000/constructs)
